Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Year,Month,DayOfWeek,Cluster,Anomaly,Cluster_DBSCAN
,Unknown,Holiday,Weekend,Unknown,D.I Khan,31.8238,70.9095,KPK,Police patrol in main market area of D.I Khan KPK,Mobile,Low,Open,None,Police,None,0.0,0.0,0.0,3,1.0,0 Kg,District Headquarters Hospital,15.735,60.323,,,,2,1,-1
,Unknown,Holiday,Weekend,Unknown,Peshawar,34.0043,71.5448,KPK,Badaber Area 15Km from Peshawer,Park/Ground,Low,Open,None,Government Official,None,14.0,15.0,30.0,33,1.0,6Kg,Lady Reading Hospital (LRH),13.33,55.994,,,,4,1,-1
,Unknown,Working Day,No Info,Unknown,Peshawar,34.0043,71.5448,KPK,Pishtakhara Square-Close to Bara-Khayber Aagency,Police,Low,Open,None,Police,None,1.0,1.0,2.0,5,1.0,6kg,Hayatabad Medical Hospital-Khyber Teaching Hospital,15.75,60.35,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,Khyber Agency,34.0211,71.2874,KPK,Akkakhel area of Bara in Khyber Agency,Religious,Low,Open,None,Anti-Militants,None,5.0,13.0,9.0,10,1.0,0 Kg,Unknown,19.65,67.37,,,,2,1,-1
,Unknown,Working Day,No Info,7:56 PM,Karachi,24.9918,66.9911,Sindh,Garision Area of Malir,Mobile,Low,Open,None,Police,None,4.0,7.0,12.0,14,1.0,0 Kg,Unknown,31.345,88.421,,,,2,1,-1
2012-05-04,Unknown,Working Day,No Info,7:45 AM,Bajaur Agency,34.8718,71.5249,FATA,security checkpoint in the middle of Khar Bazaar ,Market,Low,Open,None,Police,None,24.0,26.0,40.0,75,1.0,0 Kg,Agency Headquarters Hospital (AHH)-Lady Reading Hospital (LRH)-,24.58,76.244,2012.0,5.0,Friday,4,1,-1
,Unknown,Working Day,No Info,Unknown,Peshawar,34.0043,71.5448,KPK,Bazidkhel Village-Badhaber Area,Mobile,Low,Open,None,Anti-Militants,None,2.0,3.0,0.0,5,1.0,8Kg,Lady Reading Hospital (LRH),30.605,87.089,,,,2,1,3
,Unknown,Working Day,No Info,Unknown,Quetta,30.2095,67.0182,Baluchistan,Hazar Ganji Area,Mobile,Low,Open,None,Religious,Shiite,13.0,14.0,20.0,30,1.0,50kg,Civil hospital-Bolan Medical Complex-CMH,28.455,83.219,,,,4,1,-1
,Unknown,Working Day,No Info,9:30AM,Bannu,32.935,70.6688,KPK,Old City Police Station,Police,High,Closed,None,Police,None,2.0,7.0,2.0,8,1.0,0 Kg,District Hospital Bannu,24.555,76.199,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,Peshawar,34.0043,71.5448,KPK,Abdara Road,foreign,Low,Open,None,Foreigner,None,0.0,2.0,18.0,21,1.0,100-110kg,Khyber Teaching Hospital-American Club,29.015,84.227,,,,2,1,-1
,Unknown,Working Day,No Info,2:40pm,Kuram Agency ,32.9746,70.1456,FATA,Kashmir Chowk-Parachinar,Market,Low,Open,None,Civilian,None,14.0,15.0,40.0,80,1.0,0 Kg,Unknown,19.935,67.883,,,,4,1,-1
,Unknown,Holiday,Weekend,10:35am,Dara Adam khel,33.6854,71.5131,KPK,Darra Bazar-Near Headquarters of Pro-Ggovernment Peac Body,Market,Medium,Open,None,Anti-Militants,None,13.0,20.0,39.0,41,1.0,30kg,Lady Reading Hospital,23.495,74.291,,,,4,1,-1
,Unknown,Holiday,Weekend,2:00 PM / 2:30 PM,Buner,34.3943,72.6151,KPK,Near District Headquarters Hospital in Daggar Area,Mobile,Low,Open,None,Anti-Militants,None,5.0,6.0,7.0,10,1.0,0 Kg,District Headquarters Hospital ,19.195,66.551,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,Peshawar,34.0043,71.5448,KPK,Near Khan Razzaq Police Station-Qissa Khawani Bazaar,Mobile,High,Open,None,Police,None,6.0,8.0,28.0,37,1.0,7kg-8kg,Lady Reading Hospital,19.825,67.685,,,,4,1,-1
