Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Year,Month,DayOfWeek,Cluster,Anomaly,Cluster_DBSCAN
,8 safar 1431 A.H,Working Day,No Info,Unknown,Tank,32.226,70.3761,KPK,gomal police station,Police,High,Open,None,Police,None,4.0,5.0,3.0,11,1.0,0 Kg,Unknown,6.015,42.827,,,,2,1,-1
,14 safar 1431 A.H,Working Day,No Info,Unknown,Bajaur Agency,34.8718,71.5249,FATA,Bajor agency headquarter (khar town) security check post,Military,High,Open,None,Military,None,16.0,17.0,26.0,47,1.0,0 Kg,District headquarter hospital Timra,6.905,44.429,,,,4,1,-1
,26 safar 1431 A.H,Working Day,No Info,Unknown,Khyber Agency,34.0211,71.2874,KPK,Jamrud tehsil Khyber agency,Mobile,High,Open,None,Military,None,17.0,22.0,6.0,11,1.0,0 Kg,1.Hayatabad Meical hospital,8.07,46.526,,,,2,1,-1
,27 safar 1431 A.H,Working Day,No Info,Maghrib prayers,Bannu,32.9861,70.6042,KPK,Bannu police Lines 2-,Police,High,Open,None,Police,None,0.0,15.0,25.0,30,2.0,0 Kg,1.District Headquarter Hospital Bannu  2.Combined Military Hospital,2.32,36.176,,,,4,1,-1
,4 Raby` al-awal 1431 A.H,Working Day,No Info,Unknown,Khyber Agency,34.0211,71.2874,KPK,LI center near Darss Mosque in akakhel area of Tirah valley,Religious,Medium,Open,Lashkar-e-Islam Commander was the target,Anti-Militants,Sunni,22.0,31.0,30.0,110,1.0,40Kg,Mashte hospital,11.835,53.303,,,,4,1,-1
,6 Raby` al-awal 1431 A.H,Working Day,No Info,9:30:00 AM,Mansehra,34.3333,73.2,KPK,Balakot police station,Police,High,Open,None,Police,None,0.0,1.0,4.0,10,2.0,5Kg,1.Manseehra District Headquarters Hospital ,13.74,56.732,,,,2,1,-1
,8 Raby` al-awal 1431 A.H,Working Day,No Info,4:20:00 AM,Swat,35.2227,72.4258,KPK,Mingora-Nishat Chowk,Mobile,High,Open,attack on security forces vehicle,Military,None,7.0,13.0,37.0,41,1.0,0 Kg,1.CMH Hospital 2.Seydo Hospital,11.66,52.988,,,,4,1,-1
,13 Raby` al-awal 1431 A.H,Holiday,Eid Milad un-Nabi,Unknown,Karak,33.1193,71.0951,KPK,Karak Police Station,Police,High,Open,None,Police,None,0.0,4.0,23.0,24,2.0,250Kg,District Headquarter Hospital Karak,11.69,53.042,,,,4,1,-1
,19 Raby` al-awal 1431 A.H,Working Day,No Info,Unknown,Hangu,33.5351,71.0713,KPK,Tal parachinar road in the jurisdiction of dandore area of Hangu,Mobile,Low,Open,None,Civilian,Shiite,12.0,14.0,30.0,35,1.0, 12 kg,1.CMH Tal Hospital 2.District Headquarters hospital hangu,12.35,54.23,,,,4,1,-1
,22 Raby` al-awal 1431 A.H,Working Day,No Info,8:20:00 AM,Lahore ,31.5451,74.3407,Punjab,(SIA ) office-model Town area,Office Building,High,Open,None,Military,None,13.0,14.0,80.0,100,1.0,600Kg,1.Jinna Hospital 2.General Hosptal 3.shaikh zayed Hospital 4.Ittefaq Hospital,20.46,68.828,,,,1,1,-1
,26 Raby` al-awal 1431 A.H,Working Day,No Info,12:45:00 PM,Lahore ,31.5451,74.3407,Punjab,Lahore Cant R.A Bazar Stop,Military,High,Open,None,Military,Sunni,43.0,57.0,90.0,100,2.0,12 kg,Children Hospital,23.32,73.976,,,,1,-1,-1
,27 Raby` al-awal 1431 A.H,Working Day,No Info,9:15:00 AM,Swat,35.2227,72.4258,KPK,District court Checkpost,Police,High,Open,None,Police,None,14.0,17.0,52.0,60,1.0,14 kg,1. Judical Complex ,16.365,61.457,,,,4,1,-1
,13 Raby` al-THaany 1431 A.H.,Working Day,No Info,Unknown,Tank,32.226,70.3761,KPK,office of Pro-govt tribal leader-Misbahhuddin mehsud,Government/Office Building,Medium,Closed,None,Anti-Militants,Sunni,0.0,2.0,0.0,2,1.0,0 Kg,Unknown,16.64,61.952,,,,2,1,-1
,13 Raby` al-THaany 1431 A.H.,Working Day,No Info,Unknown,Bajaur Agency,34.8718,71.5249,FATA,Lagharai area in Bajaur,Mobile,Low,Open,Leader of anti-militants lashkar,Anti-Militants,Sunni,0.0,2.0,5.0,8,1.0,0 Kg,Agency headquarter hospital in Khar,19.45,67.01,,,,2,1,-1
,20 Raby` al-THaany 1431 A.H.,Working Day,No Info,Unknown,Peshawar,34.0043,71.5448,KPK,U.S. consulate peshwar,Foreign,High,Open,None,foreigner,Christian,6.0,8.0,0.0,0,1.0,0 Kg,Unknown,23.135,73.643,,,,2,1,-1
,20 Raby` al-THaany 1431 A.H.,Working Day,No Info,12:00 noon,Lower Dir,34.8453,71.9046,KPK,ANP rally in Timergara ,Hotel,Medium,Open,None,Government Official,None,50.0,56.0,75.0,120,3.0,0 Kg,1.Lady Reading Hospital 2.Khaber Teaching Hospital,21.1,69.98,,,,1,1,-1
,2 Jumaada al-awal 1431 A.H,Working Day,No Info,Unknown,Quetta,30.2095,67.0182,Baluchistan,Quetta civil Hospital ,Hospital,Low,Closed,None,Government Official,Shiite,0.0,11.0,35.0,40,1.0,15 kg,1.Civil Hospital 2.Bolan Medical Complex 3. CMH,25.14,77.252,,,,4,1,-1
,3 Jumaada al-awal 1431 A.H,Working Day,No Info,12:00:00 PM/11:55 AM,Kohat,33.5833,71.4333,KPK,IDP camp-kacha Pakha area on Hangu Road Kohat,Park/Ground,Low,Open,None,Civilian,None,41.0,44.0,60.0,70,2.0,12 Kg,1.District Headquarter Hospital  2.Liaqat Hospital,28.745,83.741,,,,1,1,-1
,4 Jumaada al-awal 1431 A.H,Holiday,Weekend,7:15:00 AM,Kohat,33.5833,71.4333,KPK,Kohat Police Station,Police,High,Closed,None,Police,None,0.0,7.0,30.0,32,1.0,250 kg,District Headquarter Hospital,26.62,79.916,,,,4,1,-1
,5 Jumaada al-awal 1431 A.H,Working Day,No Info,12:30:00 PM,Peshawar,34.0043,71.5448,KPK,Protest demonstration Qissa Khawani Bazaar,Park/Ground,Low,Open,Jamit-i-Islam members,Anti-Militants,Sunni,23.0,24.0,27.0,49,1.0,8 kg,Lady Reading Hospital,25.96,78.728,,,,4,1,-1
,14 Jumaada al-awal 1431 A.H,Working Day,No Info,4:05:00 AM,Peshawar,34.0043,71.5448,KPK,Pir Bala Police Check post ,Police,High,Open,None,Police,None,4.0,5.0,11.0,14,1.0,300 kg,Lady Reading Hospital,26.47,79.646,,,,2,1,-1
2010-05-01,17 Jumaada al-awal 1431 A.H,Holiday,Labour Day,Unknown,Swat,35.2227,72.4258,KPK,Sohrab Khan Market town Mingora ,Market,Low,Open,None,Civilian,None,3.0,7.0,9.0,16,1.0,15 kg,Unknown,23.315,73.967,2010.0,5.0,Saturday,2,1,-1
2010-05-02,18 Jumaada al-awal 1431 A.H,Holiday,Weekend,Unknown,Bajaur Agency,34.8718,71.5249,FATA,Bilalabad area near Khar town,Military,High,Open,None,Military,None,0.0,0.0,0.0,0,1.0,0 Kg,Unknown,27.025,80.645,2010.0,5.0,Sunday,2,1,10
2010-05-28,14 Jumaada al-THaany 1431 A.H,Working Day,No Info,Unknown,Lahore ,31.5451,74.3407,Punjab,Model Town and garhi shahu  lahore ,Religious,Medium,Closed,None,Civilian,Ahmedi,80.0,95.0,92.0,200,1.0,0 Kg,Unknown,31.495,88.691,2010.0,5.0,Friday,1,-1,-1
,19 Rajab 1431 A.H,Working Day,No Info,10:46:00 PM/11:00 PM,Lahore ,31.5451,74.3407,Punjab,Data Darbar-Lahore,Religious,Medium,Closed,None,Civilian,None,40.0,42.0,0.0,175,2.0,20 kg ,"1. Mayo Hospital
2. Sir Ganga Ram Hospital 
3. Services Hospital ",32.37,90.266,,,,0,-1,-1
,27 Rajab 1431 A.H,Working Day,No Info,Unknown,Mohmand Agency ,32.9746,70.1456,FATA,"Yakka Ghund Tehsil
of Mohmand Agency",Park/Ground,Low,Open,None,Government Official,None,65.0,80.0,104.0,110,2.0,0 Kg,Lady Reading Hospital Peshwar,26.725,80.105,,,,1,-1,-1
,30 Rajab 1431 A.H,Working Day,No Info,Unknown,Kohat,33.5833,71.4333,KPK,outside the guest house of a pro-Government tribal elder-Malik Swab Khan-in Kohat District,Government,Low,Open,None,Government Official,None,0.0,0.0,0.0,0,1.0,0 Kg,Unknown,32.205,89.969,,,,2,1,5
,6 SHa`baan 1431 A.H,Holiday,Weekend,Unknown,Sargodha,32.0791,72.6718,Punjab,Dar-ul-uloom muhamdia imambargh,Religious,Medium,Closed,None,Religious,Shiite,3.0,4.0,9.0,26,1.0,0 Kg,Unknown,34.805,94.649,,,,2,1,-1
,14 SHa`baan 1431 A.H,Working Day,No Info,Unknown,Nowshehra,34.0322,73.0944,KPK,"Nowshera near
Provincial Info Ministr house ",Residence,Medium,Closed,None,Government Official,Sunni,0.0,8.0,23.0,25,1.0,10 kg,Lady Reading Hospital Peshwar,31.52,88.736,,,,4,1,-1
,23 SHa`baan 1431 A.H,Working Day,No Info,around 4:30 PM,Peshawar,34.0043,71.5448,KPK,FC chowk near Dean's trade center,Mobile,High,Open,None,Military,None,3.0,4.0,11.0,14,1.0,10Kg,Unknown,28.59,83.462,,,,2,1,-1
,13 RamaDHaan 1431 A.H.,Working Day,No Info,Unknown,South waziristan,32.3202,69.8597,FATA,Wana-mosque,Religious,Medium,Closed,Pro-Government cleric,Anti-Militants,Sunni,26.0,30.0,0.0,40,1.0,20Kg,Unknown,25.23,77.414,,,,2,1,-1
,23 RamaDHaan 1431 A.H,Working Day,No Info,6:55pm/7:00pm/7:10pm,Lahore ,31.5451,74.3407,Punjab,1)First blast lower mal gate 2)Ghaznavi street urdu bazar 3) Bhati Chowk ,Park/Ground,Low,Open,Yaum-e-Ali,Religious,Shiite,27.0,43.0,150.0,243,3.0,0 Kg,1)Mayo Hospital 2)Sir ganga Ram Hospital  ,31.97,89.546,,,,3,-1,-1
,24 RamaDHaan 1431 A.H.,Working Day,No Info,Unknown,Quetta,30.2095,67.0182,Baluchistan,Mizan chowk Quetta,Park/Ground,Low,Open,Al-Quds Rally organized by Imamia stdents organization,Civilian,None,54.0,62.0,150.0,200,1.0,15Kg,1.Combined Miltry Hospital                2.Civil Hospital ,26.745,80.141,,,,3,-1,-1
,24 RamaDHaan 1431 A.H.,Working Day,No Info,Unknown,Mardan,34.1982,72.0444,KPK,worship place of the Ahmedis in Muslimabad area ,Religious,Medium,Closed,None,Religious,None,0.0,1.0,0.0,4,1.0,0 Kg,Unknown,27.875,82.175,,,,2,1,5
,27 RamaDHaan 1431 A.H,Holiday,Defence Day,7:05:00 AM,lakki marwat,32.6018,70.9148,KPK,lakki marwat Police Station,Police,High,Closed,None,Police,None,15.0,19.0,34.0,57,1.0,600 kg,1.Civil Hospital      2.DHQ Hospital,26.635,79.943,,,,4,1,-1
,30 RamaDHaan 1431 A.H,Working Day,No Info,12:30:00 PM,Quetta,30.2095,67.0182,Baluchistan,"Raily Housing Society
Near Finance Minnister
House Quetta",Residence,Medium,Open,None,Government Official,None,2.0,5.0,3.0,6,1.0,15 kg,Unknown,25.8,78.44,,,,2,1,-1
,28 SHawwal 1431 A.H,Working Day,No Info,6:45:00 PM,Karachi,24.9918,66.9911,Sindh,Shrine of Abdullah shah ghazi in Clifton,Religious,Medium,Closed,Attendess at shrine,Religious,Sunni,6.0,10.0,60.0,77,2.0, 6 kg,"1. JPMC
2. Civil Hospital KHI",30.45,86.81,,,,4,-1,-1
,10 Thw al-Qi`dah 1431 A.H,Working Day,No Info,Unknown,Lakki marwat,32.6018,70.9148,KPK,jabukhel village,Park/Ground,Low,Open,police tried to stop the car but the driver exploded the car in residential area,civilian,None,0.0,15.253138075313808,5.0,14,1.0,1200Kg,Unknown,20.785,69.413,,,,2,1,-1
,24 Thw al-Qi`dah 1431 A.H,Working Day,No Info,8:45:00 AM,Swabi ,34.1335,72.4702,KPK,District Shahmanoor Police Lines Swabi,Police,High,Open,None,Police,None,2.0,5.0,10.0,13,1.0,12 kg ,1.Judicial Complex ,18.87,65.966,,,,2,1,-1
,28 Thw al-Qi`dah 1431 A.H,Working Day,No Info,1:30:00 PM,Dara Adam khel,33.6854,71.5131,KPK,Dara Adam Khel Corwded Mosque ,Religious,Medium,Closed,None,Religious,Sunni,61.0,76.0,70.0,132,1.0,15Kg,1.District Headqurters Hospital 2.Lady reading hospital ,20.1,68.18,,,,1,1,-1
,5 Thw al-Hijjah 1431 A.H,Working Day,No Info,8:10:00 PM,Karachi ,24.9918,66.9911,Sindh,Crime Investigation Department,Military,High,Closed,None,Military,None,16.0,20.0,100.0,140,1.0,1000 Kg ,Unknown,28.175,82.715,,,,1,-1,-1
,5 Thw al-Hijjah 1431 A.H,Working Day,No Info,Unknown,Poonch,33.8243,73.7949,AJK,Rawalacot Security force vehicle,Mobile,Low,open,None,Military,None,0.0,0.0,0.0,2,1.0,0 Kg,1.Zahid hospital ,18.315,64.967,,,,2,1,-1
,8 Thw al-Hijjah 1431 A.H,Holiday,Weekend,Unknown,South waziristan,32.3202,69.8597,FATA,Shakai village ,Market,Low,Open,None,Anti-Militants,Sunni,0.0,1.0,0.0,8,1.0,0 Kg,Wana hospital,7.985,46.373,,,,2,1,7
,24 Thw al-Hijjah 1431 A.H,Working Day,No Info,8:45:00 AM,Bannu,32.935,70.6688,KPK,near furniture market-Banu,Mobile,High,Open,police van crossing the chowk,Police,None,2.0,6.0,6.0,22,1.0, 12 kg,Unknown,9.975,49.955,,,,2,1,-1
,30 Thw al-Hijjah 1431 A.H,Working Day,No Info,2:00:00 PM,Mohmand Agency ,32.9746,70.1456,Fata,"Mohmad Agency-Ghalani area-Political 
Agent office ",Government,High,Closed,None,Government Official,None,40.0,50.0,60.0,100,2.0,0 Kg,"1.Tehsil Headquarters Ghalani 
2.Lady Reading ",5.08,41.144,,,,1,1,-1
,1 MuHarram 1432 A.H,Working Day,No Info,Unknown,Quetta,30.2095,67.0182,Baluchistan,railway level crossing sryab pattak,Transport,Low,Open,Minister Balochistan,Government Official,None,0.0,15.253138075313808,10.0,12,1.0,0 Kg,CMH ,4.51,40.118,,,,2,1,-1
,2 MuHarram 1432 A.H,Working Day,No Info,1:00:00 PM,Kohat,33.5833,71.4333,KPK,Kohat Bus stand,Transport,Low,Open,None,Civilian,None,18.0,20.0,0.0,32,1.0,10 kg,Unknown,12.205,53.969,,,,2,1,-1
,4 MuHarram 1432 A.H,Working Day,No Info,4:00:00 PM,Hangu,33.5351,71.0713,KPK,Pass Killay area-under construction Private Hospital,Hospital,Low,Closed,None,civilian,None,10.0,17.0,16.0,30,1.0,400 KG,Hospitals in Kohat Division,10.385,50.693,,,,2,1,-1
,17 MuHarram 1432 A.H,Working Day,No Info,Unknown,Islamabad,33.718,73.0718,Capital,Entrance to imambargah,Religious,Medium,Closed,None,religious,Sunni,0.0,1.0,0.0,2,1.0,0 Kg,Unknown,11.73,53.114,,,,2,1,8
,18 MuHarram 1432 A.H,Working Day,No Info,Unknown,Peshawar,34.0043,71.5448,KPK,Mall road peshawar,Police,High,Open,Police was not sure about the bmbers target,Civilian,None,0.0,4.0,0.0,24,1.0,10 kg ,lady Reading Hospital-CMH,10.845,51.521,,,,2,1,5
,19 MuHarram 1432 A.H,Holiday,Christmas/ birthday of Quaid-e-Azam,Unknown,Bajaur Agency,34.8718,71.5249,FATA,WFP office Khar,Foreign,High,Closed,target was police checkpost,Police,None,42.0,47.0,80.0,105,1.0,0 Kg,Unknown,9.705,49.469,,,,1,1,-1
,21 MuHarram 1432 A.H,Working Day,No Info,Evening,Muzaffarabad,34.3597,73.4711,AJK,Procession from Neelam Valley,Park/Ground,Medium,Open,None,religious,Shiite,0.0,7.0,0.0,65,1.0,0 Kg,Unknown,9.24,48.632,,,,2,1,8
,8 safar 1432 A.H,Working Day,No Info,Evening,Bannu,32.935,70.6688,KPK,Bannu Police Station,Religious,Medium,Closed,None,civilian,Sunni,18.0,20.0,15.0,20,1.0,1000 kg,Bannu's Main hospital,7.775,45.995,,,,2,1,-1
,21 safar 1432 A.H,Working Day,No Info,Evening,Lahore,31.5451,74.3407,Punjab,Urdu Bazar intersection on circular road,Police,High,Open,Hazrat Imam Hussain Chehlum Procession,Religious,Shiite,11.0,17.0,71.0,80,1.0,5Kg,Mayo Hospital-ganagaram hospital,14.165,57.497,,,,1,1,-1
,23 safar 1432 A.H,Working Day,No Info,Unknown,Bajaur Agency,34.8718,71.5249,FATA,Sarameena area of Khar tehsil in the Bajaur Agency,Military,High,Open,None,Military,None,0.0,0.0,0.0,0,1.0,0 Kg,Unknown,10.395,50.711,,,,2,1,10
,27 safar 1432 A.H,Working Day,No Info,Morning,Peshawar,34.0043,71.5448,KPK,Kohat road Garhi Kamruddin over head bridge,Mobile,High,Open,Police car,Police,None,5.0,7.0,14.0,16,1.0,7Kg,Unknown,14.355,57.839,,,,2,1,-1
,7 Raby` al-awal 1432 A.H,Working Day,No Info,8:00 AM/8:15:00 AM,Mardan,34.1982,72.0444,KPK,Punjab Regiment Center,Military,High,Open,None,Military,None,28.0,36.0,35.0,50,1.0,9Kg,CMH Mardan-CMH rawalpindi,11.06,51.908,,,,4,1,-1
,8 Raby` al-awal 1432 A.H,Working Day,No Info,Unknown,Mohmand Agency ,32.9746,70.1456,Fata,Dabo Dheri checkpost in Prang Ghar ,Police,High,Open,None,Police,None,0.0,1.0,0.0,3,1.0,0 Kg,Unknown,1.445,34.601,,,,2,1,2
,9 Raby` al-awal 1432 A.H,Working Day,No Info,Saturday Morning,Malakand ,34.503,71.9046,KPK,Batakhel area,Residence,Low,Closed,security forces were trying to arest the bomber,Military,None,1.0,3.0,0.0,0,1.0,0 Kg,Unknown,8.305,46.949,,,,2,1,-1
,16 Raby` al-awal 1432 A.H,Working Day,No Info,Unknown,Bannu,32.935,70.6688,KPK,police station in bannu,Police,High,Open,None,Police,None,0.0,15.253138075313808,0.0,4,1.0,0 Kg,Unknown,5.45,41.81,,,,2,1,2
,26 Raby` al-awal 1432 A.H,Working Day,No Info,Night,Karachi,24.9918,66.9911,Sindh,near MDA flats along national highway-in Shah Latif Town,Park/Ground,Low,Open,None,civilian,None,0.0,0.0,0.0,0,1.0,0 Kg,Unknown,23.53,74.354,,,,2,1,0
,28 Raby` al-awal 1432 A.H,Working Day,No Info,Unknown,Hangu,33.5351,71.0713,KPK,spin khawri chowk,Mobile,Low,Open,None,Police,None,5.0,9.0,30.0,36,1.0,400Kg,Unknown,9.565,49.217,,,,4,1,-1
,4 Raby` al-THaany 1432 A.H,Working Day,No Info,Unknown,Peshawar,34.0043,71.5448,KPK,Adezai Village-sheikh Neka graveyard,Park/Ground,Low,Open,None,Anti-Militants,Sunni,37.0,43.0,0.0,52,1.0,16Kg,Lady Reading Hospital,18.605,65.489,,,,0,1,-1
,19 Raby` al-THaany 1432 A.H,Working Day,No Info,8:00 AM,Hangu,33.5351,71.0713,KPK,Rescue 15 Building adjecent to police station in Thall,Police,High,Open,None,Police,None,5.0,8.0,25.0,30,1.0,250kg,CMH Thall,22.185,71.933,,,,4,1,-1
,25 Raby` al-THaany 1432 A.H,Working Day,No Info,10:45 AM/ 11:00 AM,Swabi ,34.1335,72.4702,KPK,Peshawar- Islamabad Motorway-Swabi Interchange,Police,High,Open,None,Government Official,None,10.0,13.0,12.0,23,1.0,8Kg,Shahmansoor Hospital Complex/Swabi District Hospital/khunda Civil Hospital and  LRH Peshawar,20.12,68.216,,,,2,1,-1
,26 Raby` al-THaany 1432 A.H,Working Day,No Info,12:45 PM,Charsadda,34.1509,71.7359,KPK,Near DCO office-Nowshehra road,Park/Ground,Low,Open,None,Government Official,None,0.0,12.0,20.0,42,1.0,0 Kg,Lady reading hospital,19.405,66.929,,,,2,1,-1
,27 Raby` al-THaany 1432 A.H,Working Day,No Info,Unknown,Dara Adam khel,33.6854,71.5131,KPK,near a mosque in Dara adam khel bazar-khalid market,Market,Low,Open,peace committee members were present in mosque,Anti-Militants,Sunni,0.0,1.0,2.0,8,1.0,8kg,Unknown,18.315,64.967,,,,2,1,9
,29 Raby` al-THaany 1432 A.H,Holiday,Weekend,around 5pm and second attack after 15min/5:16:00 PM and second attack after 25 min,D.G Khan ,30.05,70.6333,KPK,sakhi arwar shrine-40 km away from D.G Khan,Religious,Medium,Open,Urs ceremony,Religious,Sunni,42.0,50.0,100.0,114,2.0,0 Kg,sakhi sarwar civil hospital-dera district headquarters hospital,23.035,73.463,,,,1,-1,-1
,30 Raby` al-THaany 1432 A.H,Working Day,No Info,Monday After Noon,Lower Dir,34.8453,71.9046,KPK,Bargain Car market in Munda area of Lower Dir District,Market,Low,Open,None,Anti-Militants,Sunni,7.0,9.0,22.0,30,1.0,8Kg,Temargara Hospital,16.585,61.853,,,,4,1,-1
,3 Jumaada al-awal 1432 A.H,Working Day,No Info,7:50 AM,Quetta,30.2095,67.0182,Baluchistan,Gulistan road-also known as police lines,Residence,Medium,Open,None,Police,None,0.0,1.0,17.0,19,1.0,180kg,Civil hospital-CMH,20.76,69.368,,,,2,1,-1
,19 Jumaada al-awal 1432 A.H,Working Day,No Info,Unknown,Bajaur Agency,34.8718,71.5249,FATA,Salarzai area-65 km northeast of khar,Mobile,Low,Open,None,Anti-Militants,Sunni,0.0,5.0,5.0,8,1.0,0 Kg,Agency headquarter hospital in Miranshah,26.34,79.412,,,,2,1,-1
2011-05-13,Unknown,Working Day,No Info,6:00 AM,Charsadda,34.1509,71.7359,KPK,FC headquarters in Shabqadar-30km from peshawar,Military,High,Open,FC personnel were gathered there,Military,None,82.0,95.0,128.0,140,2.0,16-20kg,LRH ,29.285,84.713,2011.0,5.0,Friday,1,-1,-1
2011-05-14,Unknown,Working Day,No Info,11:20:00 AM/ 11:00 AM,D.G Khan ,30.05,70.6333,KPK,MCB bank-Main bazar of Taunsa Sharif,Bank,Low,Open,None,civilian,None,0.0,3.0,0.0,9,1.0,0 Kg,Unknown,33.87,92.966,2011.0,5.0,Saturday,2,1,-1
2011-05-25,Unknown,Working Day,No Info,4:40 AM,Peshawar,34.0043,71.5448,KPK,CID station,Police,High,Closed,None,Police,None,8.0,11.0,41.0,48,1.0,300kg,Lady reading hospital-khyber teaching complex-hayatabad medical complex,33.975,93.155,2011.0,5.0,Wednesday,4,1,-1
2011-05-26,Unknown,Working Day,No Info,6:00 PM,Hangu,33.5351,71.0713,KPK,checkpoint close to Hangu police station and hangu DPO office,Police,High,Open,None,Police,None,28.0,32.0,55.0,60,1.0,450kg,hungu district headquarter hospital,27.53,81.554,2011.0,5.0,Thursday,4,1,-1
2011-05-28,Unknown,Working Day,No Info,10:00 AM,Bajaur Agency,34.8718,71.5249,FATA,Bajaur Agency's salarzai village-near Afghan border,Market,Low,Open,None,Anti-Militants,Sunni,0.0,8.0,0.0,11,1.0,0 Kg,khar agency headquarter hospital,30.06,86.108,2011.0,5.0,Saturday,2,1,10
,Unknown,Holiday,Weekend,8:45 PM,Nowshehra,34.0322,73.0944,KPK,Army run Bakery on Mall road-Nowshehra cantt,Military,High,Closed,None,Military,None,18.0,19.0,28.0,45,1.0,8Kg,Lady reading hospital,32.48,90.464,,,,4,1,-1
,Unknown,Holiday,Weekend,11:45 PM,Peshawar,34.0043,71.5448,KPK,Khyber super market-peshawar cantt,Market,Low,Open,None,Civilian,None,32.0,35.0,80.0,107,1.0,10 Kg,Lady reading hospital,31.05,87.89,,,,1,1,-1
,Unknown,Working Day,No Info,3:00 PM,Islamabad,33.718,73.0718,Capital,silk bank in I-8 markaz,Bank,Low,Open,None,Civilian,None,1.0,2.0,4.0,6,1.0,7kg,PIMS-Shifa International hospital,32.085,89.753,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,D.I Khan ,31.8238,70.9095,KPK,Kolache Town,Police,High,Closed,None,Police,None,0.0,10.0,3.0,5,1.0,0 Kg,Unknown,32.925,91.265,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,Peshawar,34.0043,71.5448,KPK,Bazar in Central Battagram,Market,Low,Open,None,Government Official,None,0.0,7.0,25.0,26,1.0,0 Kg,Battagram District Headquarters hospital,31.545,88.781,,,,4,1,-1
,Unknown,Working Day,No Info,Unknown,South waziristan,32.3202,69.8597,FATA,South waziristan,Mobile,Low,Open,None,Foreigner,None,0.0,15.253138075313808,0.0,2,1.0,0 Kg,Jandola hospital,24.3,75.74,,,,2,1,7
,Unknown,Holiday,Weekend,Unknown,South waziristan,32.3202,69.8597,FATA,Security Checkpost in chak Malai Area,Military,High,Open,None,Military,None,0.0,1.0,0.0,7,1.0,0 Kg,Unknown,25.195,77.351,,,,2,1,7
,Unknown,Working Day,No Info,Unknown,Mohmand Agency ,32.9746,70.1456,Fata,Danish Kol Bazaar Pandyali,Market,Low,Open,None,Military,None,0.0,1.0,0.0,0,1.0,0 Kg,Unknown,24.745,76.541,,,,2,1,2
,Unknown,Working Day,No Info,Unknown,Peshawar,34.0043,71.5448,KPK,Check post near lahori gate,Police,High,Open,None,Police,None,0.0,2.0,0.0,12,1.0,0 Kg,Unknown,30.1,86.18,,,,2,1,5
,Unknown,Working Day,No Info,Friday prayer time,Khyber Agency,34.0211,71.2874,KPK,Jamia Masjid Madina in Ghundi Area of Jamrud,Religious,Medium,Closed,None,Civilian,None,47.0,60.0,70.0,130,1.0,0 Kg,Tehsil Headquarters hospital Jamrud-Hayatabad Medical complex-Khyber Teaching Hospital,30.6,87.08,,,,1,1,-1
,5 SHawwal 1432 A.H.,Holiday,Eid-ul-Fitar,Wednesday Morning just after offering Eid prayers,Quetta,30.2095,67.0182,Baluchistan,near the Eidgah in Marriabad Major Muhammad Ali Shaheed Road.,Religious,Medium,Open,None,religious,Shiite,11.0,13.0,12.0,25,1.0,60kg,city hospitals ,25.59,78.062,,,,2,1,-1
,6 SHawwal 1432 A.H.,Holiday,Eid-ul-Fitar,Thursday night ,Lakki marwat,32.6018,70.9148,KPK,near a police station in Darra Pezu Town,Police,High,Open,None,Police,None,3.0,2.0,14.0,25,1.0,300kg,Unknown,20.84,69.512,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,Quetta,30.2095,67.0182,Baluchistan,FC DIG's residence at Anscumb road ,Military,High,Closed,None,Military,None,26.0,28.0,60.0,82,2.0,100kg,Civil hospital-CMH,28.465,83.237,,,,4,1,-1
,Unknown,Working Day,No Info,After noon,Lower Dir,34.8453,71.9046,KPK,Jandola Town in Lower Dir-100 km from swat valley,Park/Ground,Low,Open,None,Civilian,None,26.0,34.0,63.0,75,1.0,0 Kg,Unknown,27.235,81.023,,,,1,1,-1
,Unknown,Working Day,No Info,7:30 AM,karachi,24.9918,66.9911,Sindh,Street 32-off Saba Avenue-DHA Phase VIII-house of CID SSP,Police,High,Open,None,Police,None,0.0,8.0,4.0,7,1.0,300kg,Unknown,29.195,84.551,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,Nowshehra,34.0322,73.0944,KPK,Risalpur area of the Nowshera district,Police,High,Unknown,None,Police,None,0.0,2.0,0.0,0,1.0,0 Kg,Unknown,17.535,63.563,,,,2,1,8
,Unknown,Working Day,No Info,Unknown,Swabi ,34.1335,72.4702,KPK,Malikabad area of Swabi,Government Official,High,Unknown,None,Government Official,None,0.0,3.0,0.0,9,1.0,0 Kg,Unknown,19.065,66.317,,,,2,1,5
,Unknown,Working Day,No Info,Unknown,Karachi,24.9918,66.9911,Sindh,Sea view-clifton-at lover's point adjacent to village hotel,Mobile,Low,Open,None,Police,None,5.0,7.0,0.0,1,1.0,0 Kg,Jinnah Postgraduate Medical Center,25.305,77.549,,,,2,1,-1
